capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,30.16,66.25,129,120.65,"IBM 4 TB 3.5"" Internal Hard Drive",IBM,SATA,"Internal 3.5""",307,2026-08-29T19:07:18.861906+00:00,2026-08-29
6,24.83,69.84,115,149.0,"HGST, a Western Digital Company Ultrastar 7K6000 6000GB 7200RPM SATA 512E Ultra ISE 128MB Cache 3.5-Inch Internal Bare or OEM Drives 0F23001",Western Digital,SATA,"Internal 3.5""",185,2026-08-29T18:43:41.523538+00:00,2026-08-29
8,30.0,99.86,140,239.99,BUFFALO Replacement Spare Hard Drive 8TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD8.0N),Buffalo,SATA,"Internal 3.5""",256,2026-08-29T20:56:38.326813+00:00,2026-08-29
10,30.0,64.94,122,299.99,Seagate ST10000NM0146 10TB SATA 6Gb s Enterprise HDD 7200RPM 256MB Helium 4Kn,Seagate,SATA,"Internal 3.5""",193,2026-08-29T19:08:42.271682+00:00,2026-08-29
12,26.67,61.33,93,319.99,MDD MAXDIGITALDATA 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5-inch Internal Hard Drive for Surveillance Storage (MD12TBGSA25672DVR) - 3 Years Warranty,MDD MAXDIGITALDATA,SATA,"Internal 3.5""",146,2026-08-29T21:08:42.47045+00:00,2026-08-29
14,32.71,55.47,72,458.0,HP P09165-B21 Midline Helium - Hard Drive - 14 TB - Hot-Swap - 3.5 Inch Lff - SATA 6GB/S - 7200 RPM - with Low Profile Carrier,HP,SATA,"Internal 3.5""",100,2026-08-29T21:26:35.371231+00:00,2026-08-29
16,35.65,59.6,76,570.32,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",113,2026-08-29T21:49:41.696627+00:00,2026-08-29
18,30.5,45.54,20,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 14G Tray | Compatible with PER340 PER440 PER640 PER740",Water Panther,SATA,"Internal 3.5""",34,2026-08-29T22:00:34.050126+00:00,2026-08-29
20,31.5,51.33,28,629.99,BUFFALO Replacement Spare Hard Drive 20TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD20.0N),Buffalo,SATA,"Internal 3.5""",47,2026-08-29T21:59:44.009784+00:00,2026-08-29
22,36.18,51.43,7,795.99,"Toshiba 22TB Enterprise Internal Hard Drive – MG Series 3.5"" SATA HDD for Server, Storage, 24/7 Operation, Hyperscale, Cloud (MG10AFA22TE)",Toshiba,SATA,"Internal 3.5""",17,2026-08-29T18:08:31.779392+00:00,2026-08-29
24,35.83,46.12,11,859.99,Seagate Skyhawk AI 24TB Video Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 512MB Cache for DVR NVR Security Camera System with in-House Rescue Services (ST24000VE002),Seagate,SATA,"Internal 3.5""",30,2026-08-29T18:33:37.830188+00:00,2026-08-29
