capacity_tb,cheapest_usd_per_tb,median_usd_per_tb,median_sample_n,price_usd,drive,brand,interface,form_factor,new_hdd_listings_in_tier,listing_last_updated,snapshot_date
4,23.8,62.5,121,95.18,HP 3.5-Inch 4000 GB Hot-Swap 2 MB Cache Internal Hard Drive 693687-B21,HP,SATA,"Internal 3.5""",284,2026-08-20T06:42:12.756674+00:00,2026-08-20
6,26.0,74.61,123,156.0,HGST Ultrastar He 3.5-inch 6000GB 64MB Cache 7200RPM SATA Ultra 512n Helium Platform Enterprise HDD HUS726060ALA640,Western Digital,SATA,"Internal 3.5""",187,2026-08-20T07:21:23.912628+00:00,2026-08-20
8,32.5,90.83,142,259.99,MDD MAXDIGITALDATA MaxDigitalData 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5inch Internal Hard Drive for NAS Network Storage (MD8000GSA25672NAS),MDD MAXDIGITALDATA,SATA,"Internal 3.5""",255,2026-08-20T07:37:23.964781+00:00,2026-08-20
10,28.3,64.9,112,283.0,Toshiba MG Series Enterprise 10TB 3.5’’ SATA 6Gbit/s Internal HDD 7200RPM 550TB/year 24/7 Operation. MG06ACA10TE,Toshiba,SATA,"Internal 3.5""",186,2026-08-20T03:49:27.908838+00:00,2026-08-20
12,28.33,60.66,90,339.99,"HGST Ultrastar He12 | HUH721212ALE601 | 0F27454 | 12TB 7200 RPM 256MB SATA 6.0Gb/s 3.5"" Cache | 512E | BitLocker Hard Drive Encryption | Power Disable Function |",HGST,SATA,"Internal 3.5""",146,2026-08-20T06:42:23.455439+00:00,2026-08-20
14,30.37,56.35,65,425.17,"TFGAJKKKKK 3.5"" HDD 14TB (CMR) MN07ACA14T /JP 7,200rpm SATA 24x7 RV Sensor Helium-Filled HDD with Japan Support and Simultaneous Replacement in The Event of a Failure",TFGAJKKKKK,SATA,"Internal 3.5""",92,2026-08-20T04:23:04.472964+00:00,2026-08-20
16,35.65,58.97,74,570.32,BUFFALO Replacement Spare Hard Drive 16TB NAS-Grade for TeraStation 2/4/8 Bay (OP-HD16.0N),Buffalo,SATA,"Internal 3.5""",106,2026-08-20T05:21:12.062879+00:00,2026-08-20
18,30.5,43.71,18,549.0,"Water Panther 18TB 7200 RPM SATA 6Gb/s 3.5"" HDD for Dell PowerEdge Servers | Enterprise Hard Drive in 13G Tray | Compatible with T440 T630 T640 R630 R720 R720xd R730xd R730",Water Panther,SATA,"Internal 3.5""",37,2026-08-20T05:11:33.085792+00:00,2026-08-20
20,25.0,49.55,25,499.99,"MDD MAXDIGITALDATA 20TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5'' Internal Hard Drive (for NAS, Network Storage) - 5 Years Warranty",MDD MAXDIGITALDATA,SATA,"Internal 3.5""",41,2026-08-20T04:50:19.862887+00:00,2026-08-20
22,31.61,47.9,7,695.51,"TOSHIBA N300 Internal Hard Drive 22 Tb 7200 RPM 512 Mb 3.5"", W129161818 (Tb 7200 RPM 512 Mb 3.5 Serial Ata Iii)",Toshiba,SATA,"Internal 3.5""",15,2026-08-20T05:37:00.047531+00:00,2026-08-20
24,27.08,45.0,10,649.99,"Seagate Exos X24 24TB internal server Hard drive ST24000NM000C 3.5"" HDD SATA3 512MB 7200RPM",Seagate,SATA,"Internal 3.5""",21,2026-08-20T05:21:22.741031+00:00,2026-08-20
